/Users/chunhaozou/Desktop/drl/envs/cartpole_train_eval.py:7: DeprecationWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html
  from pkg_resources import parse_requirements
name: __main__
Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
/opt/miniconda3/envs/drl/lib/python3.11/site-packages/gymnasium/envs/classic_control/cartpole.py:214: UserWarning: [33mWARN: You are calling 'step()' even though this environment has already returned terminated = True. You should always call 'reset()' once you receive 'terminated = True' -- any further steps are undefined behavior.[0m
  logger.warn(
Episode 3 finished with reward: {'pole_balance_reward': 322.99161135136535, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -29.373271894180075, 'gpt_reward': 224.82917197231794, 'gt_reward': 2000.0, 'episode_length': 2000.0}
Episode 4 finished with reward: {'pole_balance_reward': 322.97546807794527, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -30.335097496048547, 'gpt_reward': 223.85120309703052, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 5 finished with reward: {'pole_balance_reward': 322.971932659873, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -30.010418136068626, 'gpt_reward': 224.17234703893735, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 1 finished with reward: {'pole_balance_reward': 322.94796157686164, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -30.059369704348317, 'gpt_reward': 224.0994243876451, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 2 finished with reward: {'pole_balance_reward': 323.00564617563, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -30.33139574234373, 'gpt_reward': 223.88508294842003, 'gt_reward': 2000.0, 'episode_length': 2000.0}
Episode 3 finished with reward: {'pole_balance_reward': 191.48791442971537, 'cart_movement_reward': -40.791976318525585, 'pole_velocity_penalty': -19.307156949117807, 'gpt_reward': 131.3887811620714, 'gt_reward': 1195.0, 'episode_length': 1186.0}
Episode 4 finished with reward: {'pole_balance_reward': 323.0002762565258, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -29.990232009638635, 'gpt_reward': 224.22087676201997, 'gt_reward': 2000.0, 'episode_length': 2000.0}
Episode 5 finished with reward: {'pole_balance_reward': 323.00286481112215, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -30.3802197736252, 'gpt_reward': 223.8334775526312, 'gt_reward': 2000.0, 'episode_length': 2000.0}
Episode 1 finished with reward: {'pole_balance_reward': 322.9632118707836, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -29.499980056618938, 'gpt_reward': 224.67406432929724, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 2 finished with reward: {'pole_balance_reward': 322.9493252562371, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -32.76795929726213, 'gpt_reward': 221.39219847410894, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 3 finished with reward: {'pole_balance_reward': 263.2029501204892, 'cart_movement_reward': -56.06317150016578, 'pole_velocity_penalty': -26.16043054275213, 'gpt_reward': 180.97934807757056, 'gt_reward': 1639.0, 'episode_length': 1630.0}
Episode 4 finished with reward: {'pole_balance_reward': 284.9869345582459, 'cart_movement_reward': -60.70644030539422, 'pole_velocity_penalty': -28.94920969493683, 'gpt_reward': 195.3312845579136, 'gt_reward': 1774.0, 'episode_length': 1765.0}
Episode 5 finished with reward: {'pole_balance_reward': 322.9693112290268, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -29.51587046211922, 'gpt_reward': 224.6642732820406, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 1 finished with reward: {'pole_balance_reward': 323.01127823951833, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -31.774266323167872, 'gpt_reward': 222.44784443148342, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 2 finished with reward: {'pole_balance_reward': 322.9981942903527, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -30.246161245380073, 'gpt_reward': 223.96286556010483, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 3 finished with reward: {'pole_balance_reward': 323.01468155548037, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -30.89045847845265, 'gpt_reward': 223.33505559216144, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 4 finished with reward: {'pole_balance_reward': 322.99629112069294, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -32.404820358008145, 'gpt_reward': 221.80230327781746, 'gt_reward': 2000.0, 'episode_length': 2000.0}
Episode 5 finished with reward: {'pole_balance_reward': 322.9917879990216, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -31.816656471160186, 'gpt_reward': 222.3859640429943, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 1 finished with reward: {'pole_balance_reward': 323.00368163170674, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -30.57459085357842, 'gpt_reward': 223.6399232932614, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 2 finished with reward: {'pole_balance_reward': 322.97261508113434, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -29.49577552872684, 'gpt_reward': 224.68767206754003, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 3 finished with reward: {'pole_balance_reward': 322.9951115285878, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -29.85418628084504, 'gpt_reward': 224.35175776287525, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 4 finished with reward: {'pole_balance_reward': 322.9428822671942, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -32.141221851296635, 'gpt_reward': 222.01249293103072, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 5 finished with reward: {'pole_balance_reward': 322.9783009752986, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -30.124071709243907, 'gpt_reward': 224.06506178118846, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 1 finished with reward: {'pole_balance_reward': 323.0125186638747, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -31.23772804914041, 'gpt_reward': 222.9856231298676, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 2 finished with reward: {'pole_balance_reward': 323.0055741303341, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -31.922018444258637, 'gpt_reward': 222.29438820120907, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 3 finished with reward: {'pole_balance_reward': 322.9543336643489, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -32.128625498153205, 'gpt_reward': 222.0365406813292, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 4 finished with reward: {'pole_balance_reward': 322.9388806753652, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -31.08966464959924, 'gpt_reward': 223.06004854089923, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 5 finished with reward: {'pole_balance_reward': 323.0064558485346, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -31.232617010595305, 'gpt_reward': 222.98467135307246, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 1 finished with reward: {'pole_balance_reward': 322.9727587259981, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -31.53562521187125, 'gpt_reward': 222.64796602925924, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 2 finished with reward: {'pole_balance_reward': 322.95103956545734, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -30.510475807817453, 'gpt_reward': 223.65139627277298, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 3 finished with reward: {'pole_balance_reward': 322.899489223626, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -29.482731026939582, 'gpt_reward': 224.6275907118192, 'gt_reward': 2000.0, 'episode_length': 2000.0}
Episode 4 finished with reward: {'pole_balance_reward': 322.9521192215319, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -29.409584639815964, 'gpt_reward': 224.75336709684797, 'gt_reward': 2000.0, 'episode_length': 2000.0}
Episode 5 finished with reward: {'pole_balance_reward': 322.95094371898597, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -30.5302189544076, 'gpt_reward': 223.6315572797112, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 1 finished with reward: {'pole_balance_reward': 322.9377585241867, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -32.42372061097998, 'gpt_reward': 221.72487042833993, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 2 finished with reward: {'pole_balance_reward': 322.98809773433254, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -29.80598870563558, 'gpt_reward': 224.39294154382927, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 3 finished with reward: {'pole_balance_reward': 322.97256296276754, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -29.56414204287172, 'gpt_reward': 224.61925343502938, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 4 finished with reward: {'pole_balance_reward': 323.00718540603197, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -31.544114528410127, 'gpt_reward': 222.67390339275423, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 5 finished with reward: {'pole_balance_reward': 322.9351066870971, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -31.569823201734142, 'gpt_reward': 222.5761160004962, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 1 finished with reward: {'pole_balance_reward': 322.9158298678069, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -29.431854563466903, 'gpt_reward': 224.69480781947215, 'gt_reward': 2000.0, 'episode_length': 2000.0}
Episode 2 finished with reward: {'pole_balance_reward': 322.9989959938797, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -29.407134045045957, 'gpt_reward': 224.80269446396682, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 3 finished with reward: {'pole_balance_reward': 322.89912373635644, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -32.31715216292071, 'gpt_reward': 221.7928040885682, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 4 finished with reward: {'pole_balance_reward': 322.9311661463446, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -29.40177344201035, 'gpt_reward': 224.7402252194678, 'gt_reward': 2000.0, 'episode_length': 2000.0}
