/Users/chunhaozou/Desktop/drl/envs/cartpole_train_eval.py:7: DeprecationWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html
  from pkg_resources import parse_requirements
name: __main__
Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
/opt/miniconda3/envs/drl/lib/python3.11/site-packages/gymnasium/envs/classic_control/cartpole.py:214: UserWarning: [33mWARN: You are calling 'step()' even though this environment has already returned terminated = True. You should always call 'reset()' once you receive 'terminated = True' -- any further steps are undefined behavior.[0m
  logger.warn(
Episode 1 finished with reward: {'pole_balance_reward': 209.7946158872894, 'cart_movement_reward': 9.127800484968832, 'pole_velocity_penalty': -3.0767793257542646, 'gpt_reward': 215.84563704650435, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 2 finished with reward: {'pole_balance_reward': 209.82417233880903, 'cart_movement_reward': 9.298226194188457, 'pole_velocity_penalty': -3.053077813144725, 'gpt_reward': 216.06932071985264, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 3 finished with reward: {'pole_balance_reward': 209.80451860144439, 'cart_movement_reward': 9.18795073528164, 'pole_velocity_penalty': -3.1202859053895966, 'gpt_reward': 215.87218343133662, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 4 finished with reward: {'pole_balance_reward': 209.80754391021713, 'cart_movement_reward': 9.288201152469655, 'pole_velocity_penalty': -3.0942934830243787, 'gpt_reward': 216.00145157966264, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 5 finished with reward: {'pole_balance_reward': 209.8152718262634, 'cart_movement_reward': 9.393464090517071, 'pole_velocity_penalty': -3.17182828181365, 'gpt_reward': 216.03690763496724, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 1 finished with reward: {'pole_balance_reward': 209.83077007016382, 'cart_movement_reward': 9.408501653095273, 'pole_velocity_penalty': -3.227268021947821, 'gpt_reward': 216.01200370131235, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 2 finished with reward: {'pole_balance_reward': 209.82534558007103, 'cart_movement_reward': 9.328301319344861, 'pole_velocity_penalty': -3.241101517923233, 'gpt_reward': 215.91254538149303, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 3 finished with reward: {'pole_balance_reward': 209.80397105832932, 'cart_movement_reward': 9.213013339578644, 'pole_velocity_penalty': -3.135621650588986, 'gpt_reward': 215.88136274731957, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 4 finished with reward: {'pole_balance_reward': 209.79628008499677, 'cart_movement_reward': 9.167900651844038, 'pole_velocity_penalty': -3.216045937799934, 'gpt_reward': 215.74813479904068, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 5 finished with reward: {'pole_balance_reward': 209.83035002886774, 'cart_movement_reward': 9.278176110750854, 'pole_velocity_penalty': -3.1712746594874623, 'gpt_reward': 215.93725148013155, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 1 finished with reward: {'pole_balance_reward': 209.7680324975543, 'cart_movement_reward': 9.228050902156847, 'pole_velocity_penalty': -3.2356708723434724, 'gpt_reward': 215.76041252736715, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 2 finished with reward: {'pole_balance_reward': 209.77615396818388, 'cart_movement_reward': 9.268151069032053, 'pole_velocity_penalty': -3.2120399562868216, 'gpt_reward': 215.83226508092946, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 3 finished with reward: {'pole_balance_reward': 209.7739570241235, 'cart_movement_reward': 9.18795073528164, 'pole_velocity_penalty': -3.1992539827173445, 'gpt_reward': 215.76265377668824, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 4 finished with reward: {'pole_balance_reward': 209.79409218350037, 'cart_movement_reward': 9.162888130984637, 'pole_velocity_penalty': -3.234486855816873, 'gpt_reward': 215.72249345866797, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 5 finished with reward: {'pole_balance_reward': 209.766171604188, 'cart_movement_reward': 9.238075943875648, 'pole_velocity_penalty': -3.167107867829908, 'gpt_reward': 215.837139680234, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 1 finished with reward: {'pole_balance_reward': 209.78456725169667, 'cart_movement_reward': 9.398476611376472, 'pole_velocity_penalty': -3.205442830095552, 'gpt_reward': 215.97760103297725, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 2 finished with reward: {'pole_balance_reward': 209.75980056998057, 'cart_movement_reward': 9.273163589891453, 'pole_velocity_penalty': -3.2350335927364373, 'gpt_reward': 215.797930567136, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 3 finished with reward: {'pole_balance_reward': 209.79285563851192, 'cart_movement_reward': 9.418526694814075, 'pole_velocity_penalty': -3.227257625155617, 'gpt_reward': 215.98412470817038, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 4 finished with reward: {'pole_balance_reward': 209.7734737822921, 'cart_movement_reward': 9.308251235907258, 'pole_velocity_penalty': -3.2426564423495385, 'gpt_reward': 215.83906857585038, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 5 finished with reward: {'pole_balance_reward': 209.77476690414628, 'cart_movement_reward': 9.288201152469655, 'pole_velocity_penalty': -3.2340433991211497, 'gpt_reward': 215.82892465749507, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 1 finished with reward: {'pole_balance_reward': 102.53157429536046, 'cart_movement_reward': 4.22054256361551, 'pole_velocity_penalty': -1.5507162032485944, 'gpt_reward': 105.20140065572735, 'gt_reward': 987.0, 'episode_length': 978.0}
Episode 2 finished with reward: {'pole_balance_reward': 145.75646432198906, 'cart_movement_reward': 6.235575949094606, 'pole_velocity_penalty': -2.233779339966876, 'gpt_reward': 149.75826093111706, 'gt_reward': 1399.0, 'episode_length': 1390.0}
Episode 3 finished with reward: {'pole_balance_reward': 104.4350965698671, 'cart_movement_reward': 4.365905668538131, 'pole_velocity_penalty': -1.5974419244393365, 'gpt_reward': 107.20356031396592, 'gt_reward': 1005.0, 'episode_length': 996.0}
Episode 4 finished with reward: {'pole_balance_reward': 103.68993700556408, 'cart_movement_reward': 4.320792980803525, 'pole_velocity_penalty': -1.582548066054006, 'gpt_reward': 106.42818192031376, 'gt_reward': 998.0, 'episode_length': 989.0}
Episode 5 finished with reward: {'pole_balance_reward': 129.1831072559332, 'cart_movement_reward': 5.398484965574683, 'pole_velocity_penalty': -1.9783137470149075, 'gpt_reward': 132.60327847449312, 'gt_reward': 1241.0, 'episode_length': 1232.0}
Episode 1 finished with reward: {'pole_balance_reward': 133.02991456499515, 'cart_movement_reward': 5.573923195653709, 'pole_velocity_penalty': -2.025836821529082, 'gpt_reward': 136.57800093911996, 'gt_reward': 1278.0, 'episode_length': 1269.0}
Episode 2 finished with reward: {'pole_balance_reward': 131.48572494529702, 'cart_movement_reward': 5.548860591356705, 'pole_velocity_penalty': -1.9729759380810712, 'gpt_reward': 135.06160959857243, 'gt_reward': 1263.0, 'episode_length': 1254.0}
Episode 3 finished with reward: {'pole_balance_reward': 209.7834712677389, 'cart_movement_reward': 9.433564257392277, 'pole_velocity_penalty': -3.2298706737344034, 'gpt_reward': 215.98716485139693, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 4 finished with reward: {'pole_balance_reward': 209.78931650658603, 'cart_movement_reward': 9.483689465986284, 'pole_velocity_penalty': -3.239215313513995, 'gpt_reward': 216.0337906590594, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 5 finished with reward: {'pole_balance_reward': 135.55853115214205, 'cart_movement_reward': 5.7543739465921355, 'pole_velocity_penalty': -2.0570592052001233, 'gpt_reward': 139.25584589353397, 'gt_reward': 1302.0, 'episode_length': 1293.0}
Episode 1 finished with reward: {'pole_balance_reward': 209.74433191731424, 'cart_movement_reward': 9.358376444501266, 'pole_velocity_penalty': -3.164867256595747, 'gpt_reward': 215.93784110521975, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 2 finished with reward: {'pole_balance_reward': 209.73636167126512, 'cart_movement_reward': 9.353363923641865, 'pole_velocity_penalty': -3.2475659343192795, 'gpt_reward': 215.84215966058835, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 3 finished with reward: {'pole_balance_reward': 209.73661373461061, 'cart_movement_reward': 9.31827627762606, 'pole_velocity_penalty': -3.127952587357031, 'gpt_reward': 215.92693742488032, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 4 finished with reward: {'pole_balance_reward': 209.7486045627076, 'cart_movement_reward': 9.423539215673475, 'pole_velocity_penalty': -3.247376744693173, 'gpt_reward': 215.9247670336888, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 5 finished with reward: {'pole_balance_reward': 209.746118490371, 'cart_movement_reward': 9.38845156965767, 'pole_velocity_penalty': -3.205320660469597, 'gpt_reward': 215.9292493995593, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 1 finished with reward: {'pole_balance_reward': 209.738165499793, 'cart_movement_reward': 9.258126027313251, 'pole_velocity_penalty': -3.1252577519179146, 'gpt_reward': 215.8710337751886, 'gt_reward': 2009.0, 'episode_length': 2000.0}
